case_name,url,date,case_type,matter_number,case_status,summary,tags,long_title
"Amazon.com, Inc., U.S. v.",https://www.ftc.gov/legal-library/browse/cases-proceedings/252-3024-amazoncom-inc-us-v,2026-06-30T12:00:00Z,Federal,252 3024,Pending,Amazon will pay $2.25 million in civil penalties to settle FTC allegations that the online retail giant knowingly violated the 609(e) of the Fair Credit Reporting Act by refusing to provide transaction records to consumers whose personal information was used by identity thieves to commit fraud.,Consumer Protection; Bureau of Consumer Protection; Identity Theft; Fair Credit Reporting Act (FCRA); Privacy and Security; Consumer Privacy,"UNITED STATES OF AMERICA, Plaintiff v. AMAZON.COM, INC., a corporation, Defendant"
"FTC v Kochava, Inc.",https://www.ftc.gov/legal-library/browse/cases-proceedings/ftc-v-kochava-inc,2026-06-26T12:00:00Z,Federal,,Pending,"The FTC will prohibit data broker Kochava and its subsidiary from selling, sharing or disclosing sensitive location data without consumer consent to settle allegations the companies sold location data from hundreds of millions of mobile devices that could be used to trace the movements of individuals.",Consumer Protection; Bureau of Consumer Protection; Health; Privacy and Security; Consumer Privacy; Health Privacy,"Federal Trade Commission, Plaintiff, V. Kochava Inc., Corporation, Defendant"
"Illuminate Education, Inc., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/222-3105-illuminate-education-inc-matter,2026-06-05T12:00:00Z,Administrative,222 3105,Under Order,"The Federal Trade Commission will require education technology provider Illuminate Education, Inc. to implement a data security program and delete unnecessary data to settle allegations that the company’s data security failures led to a major data breach.",Consumer Protection; Bureau of Consumer Protection; Privacy and Security; Children's Privacy; Data Security,"In the Matter of ILLUMINATE EDUCATION, INC., a corporation"
"Twitter, Inc., a corporation",https://www.ftc.gov/legal-library/browse/cases-proceedings/092-3093-twitter-inc-corporation,2026-06-03T12:00:00Z,Administrative,092 3093,,,Consumer Protection; Bureau of Consumer Protection; Privacy and Security; Consumer Privacy; Data Security; Tech; Social Media,"In the Matter of Twitter, Inc.,a corporation"
"CMG Media Corporation, In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/242-3029-cmg-media-corporation-matter,2026-05-21T12:00:00Z,Administrative,242 3029,Pending,"The FTC will require Cox Media Group, MindSift, and 1010 Digital Works to pay a total of $930,000 to settle allegations they deceived customers by falsely claiming to offer an AI-powered service that could target localized ads based on conversations captured from consumers’ smart devices and that consumers had opted into such targeting",Consumer Protection; Bureau of Consumer Protection; deceptive/misleading conduct; Online Advertising and Marketing; Advertising and Marketing Basics; Privacy and Security; Consumer Privacy,In the Matter of CMG Media Corporation
OkCupid/Match,https://www.ftc.gov/legal-library/browse/cases-proceedings/okcupidmatch,2026-03-30T12:00:00Z,Administrative,,Pending,"The FTC reached a settlement with OkCupid and its affiliate Match Group Americas over allegations OkCupid deceived users of its dating app by sharing their personal information, including photos and location information, with an unrelated third party, contrary to OkCupid’s privacy promises.",Consumer Protection; Bureau of Consumer Protection; Privacy and Security; Data Security,"Federal Trade Commission, Plaintiff, v. Match Group Americas, LLC, a Limited Liability Company; and Humor Rainbow, Inc., a corporation d/b/a OkCupid, Defendants."
"General Motors LLC., et al., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/2423052-general-motors-llc-et-al-matter,2026-01-14T12:00:00Z,Administrative,2423052,Under Order,,Consumer Protection; Regional Offices; Northwest Region; Bureau of Consumer Protection; Cars; deceptive/misleading conduct; Automobiles; Privacy and Security; Consumer Privacy,"In the Matter of GENERAL MOTORS LLC, a limited liability company; GENERAL MOTORS HOLDINGS LLC, a limited liability company; and ONSTAR, LLC, a limited liability company."
NGL,https://www.ftc.gov/legal-library/browse/cases-proceedings/ngl,2026-01-06T12:00:00Z,Administrative,,Pending,"The FTC has taken action against NGL Labs, LLC and two of its co-founders, Raj Vir and Joao Figueiredo, for a host of law violations related to their anonymous messaging app, including unfairly marketing the service to children and teens. In July 2024, the FTC took action against NGL Labs, LLC and two of its co-founders, Raj Vir and Joao Figueiredo, for a host of law violations related to their anonymous messaging app, including unfairly marketing the service to children and teens. In January 2026, the Commission announced the claims process through which potentially defrauded consumers could see refunds from the FTC.",Consumer Protection; Bureau of Consumer Protection; Children's Online Privacy Protection Act (COPPA); deceptive/misleading conduct; Technology; Advertising and Marketing; Children's Privacy; Consumer Privacy; Artificial Intelligence,"Federal Trade Commission and The People of the State of California Plaintiffs, v. NGL Labs, LLC, a corporation; Raj Vir, Individually and as an Officer of NGL Labs, LLC; and Joao Figueiredo, Individually and as an Officer of NGL Labs, LLC, Defendants."
Disney,https://www.ftc.gov/legal-library/browse/cases-proceedings/disney,2025-12-31T12:00:00Z,Administrative,,Pending,Disney will pay $10 million to settle Federal Trade Commission allegations that the company allowed personal data to be collected from children who viewed kid-directed videos on YouTube without notifying parents or obtaining their consent as required by the Children’s Online Privacy Protection Rule (COPPA Rule). A federal judge approved the order in December 2025.,Consumer Protection; Bureau of Consumer Protection; Children's Online Privacy Protection Act (COPPA); Technology; Entertainment; Advertising and Marketing; Children; Online Advertising and Marketing; Privacy and Security; Children's Privacy,"Disney Worldwide Services, Inc., a Corporation; and Disney Entertainment Operations LLC, a Limited Liability Company, Defendants."
Illusory Systems/Nomad,https://www.ftc.gov/legal-library/browse/cases-proceedings/illusory-systemsnomad,2025-12-16T12:00:00Z,Administrative,,Pending,"The FTC is taking action against Illusory Systems Inc. for failing to implement adequate data security measures, leading to a major security breach in which hackers stole $186 million from consumers.",Consumer Protection; Bureau of Consumer Protection; Privacy and Security; Data Security,"In the Matter of Illusory Systems, Inc., a corporation, also d/b/a Nomad."
