case_name,pdf_url
"Amazon.com, Inc., U.S. v.",https://www.ftc.gov/system/files/ftc_gov/pdf/Amazon-Complaint.pdf
"Amazon.com, Inc., U.S. v.",https://www.ftc.gov/system/files/ftc_gov/pdf/Amazon-ConsentMotionforOrder.pdf
"FTC v Kochava, Inc.",https://www.ftc.gov/system/files/ftc_gov/pdf/1.%20Complaint.pdf
"FTC v Kochava, Inc.",https://www.ftc.gov/system/files/ftc_gov/pdf/26AmendedComplaint%28unsealed%29.pdf
"FTC v Kochava, Inc.",https://www.ftc.gov/system/files/ftc_gov/pdf/71-OpiniononMTD.pdf
"FTC v Kochava, Inc.",https://www.ftc.gov/system/files/ftc_gov/pdf/86-SecondAmendedComplaint.pdf
"FTC v Kochava, Inc.",https://www.ftc.gov/system/files/ftc_gov/pdf/Kochava-Order.pdf
"FTC v Kochava, Inc.",https://www.ftc.gov/system/files/ftc_gov/pdf/ftc_v._kochava_-_proposed_stipulated_order.pdf
"Illuminate Education, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/2223105c4833illuminatecommenterletters.pdf
"Illuminate Education, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/2223105c4833illuminatefinalcomplaint.pdf
"Illuminate Education, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/2223105c4833illuminatefinalorder.pdf
"Illuminate Education, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/2223105illuminateaapc.pdf
"Illuminate Education, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/2223105illuminateacco.pdf
"Illuminate Education, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/2223105illuminatecomplaint.pdf
"Twitter, Inc., a corporation",https://www.ftc.gov/sites/default/files/documents/cases/2010/06/100624twitteragree.pdf
"Twitter, Inc., a corporation",https://www.ftc.gov/sites/default/files/documents/cases/2010/06/100624twitteranal.pdf
"Twitter, Inc., a corporation",https://www.ftc.gov/sites/default/files/documents/cases/2010/06/100624twittercmpt.pdf
"Twitter, Inc., a corporation",https://www.ftc.gov/sites/default/files/documents/cases/2010/06/100624twitterexhibits.pdf
"Twitter, Inc., a corporation",https://www.ftc.gov/sites/default/files/documents/cases/2011/03/100624twitterexhibits.pdf
"Twitter, Inc., a corporation",https://www.ftc.gov/sites/default/files/documents/cases/2011/03/110311letterborst.pdf
"Twitter, Inc., a corporation",https://www.ftc.gov/sites/default/files/documents/cases/2011/03/110311lettergosche.pdf
"Twitter, Inc., a corporation",https://www.ftc.gov/sites/default/files/documents/cases/2011/03/110311letterhale.pdf
"Twitter, Inc., a corporation",https://www.ftc.gov/sites/default/files/documents/cases/2011/03/110311letterpandey.pdf
"Twitter, Inc., a corporation",https://www.ftc.gov/sites/default/files/documents/cases/2011/03/110311letterradocea.pdf
"Twitter, Inc., a corporation",https://www.ftc.gov/sites/default/files/documents/cases/2011/03/110311lettersilverberg.pdf
"Twitter, Inc., a corporation",https://www.ftc.gov/sites/default/files/documents/cases/2011/03/110311lettersmith.pdf
"Twitter, Inc., a corporation",https://www.ftc.gov/sites/default/files/documents/cases/2011/03/110311letterthomason.pdf
"Twitter, Inc., a corporation",https://www.ftc.gov/sites/default/files/documents/cases/2011/03/110311twittercmpt.pdf
"Twitter, Inc., a corporation",https://www.ftc.gov/sites/default/files/documents/cases/2011/03/110311twitterdo.pdf
"Twitter, Inc., a corporation",https://www.ftc.gov/system/files/ftc_gov/pdf/c4316twitterpetitionto_reopenpublic.pdf
"CMG Media Corporation, In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/CMGAPCOwithoutsignatures.pdf
"CMG Media Corporation, In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/CMGComplaintwithoutsignatures.pdf
"CMG Media Corporation, In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/CMGDecisionandOrderwithoutsignatures.pdf
"CMG Media Corporation, In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/CMGconsentwithoutsignatures.pdf
OkCupid/Match,https://www.ftc.gov/system/files/ftc_gov/pdf/MatchGroupAmericasandHumorRainbowStipulatedOrder.pdf
OkCupid/Match,https://www.ftc.gov/system/files/ftc_gov/pdf/OkCupid-MatchComplaint.pdf
OkCupid/Match,https://www.ftc.gov/system/files/ftc_gov/pdf/OkCupidMatch-JointMotion.pdf
"General Motors LLC., et al., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/2423052c4828gmlexiscommenterletters.pdf
"General Motors LLC., et al., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/2423052c4828gmlexisfinalcomplaint.pdf
"General Motors LLC., et al., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/2423052c4828gmlexisfinalorder.pdf
"General Motors LLC., et al., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/242_3052_-_general_motors_analysis.pdf
"General Motors LLC., et al., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/242_3052_-_general_motors_complaint.pdf
"General Motors LLC., et al., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/242_3052_-_general_motors_consent.pdf
"General Motors LLC., et al., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/242_3052_-_general_motors_decisionandorder.pdf
NGL,https://www.ftc.gov/system/files/ftc_gov/pdf/DN008StipulatedOrderforPermanentInjunction.pdf
NGL,https://www.ftc.gov/system/files/ftc_gov/pdf/NGL-Complaint.pdf
NGL,https://www.ftc.gov/system/files/ftc_gov/pdf/NGL-ProposedConsentOrder.pdf
NGL,https://www.ftc.gov/system/files/ftc_gov/pdf/NGL-StipulationastoEntryofProposedConsentOrder.pdf
Disney,https://www.ftc.gov/system/files/ftc_gov/pdf/Disney-AppendixA.pdf
Disney,https://www.ftc.gov/system/files/ftc_gov/pdf/Disney-Order.pdf
Disney,https://www.ftc.gov/system/files/ftc_gov/pdf/DisneyComplaint.pdf
Disney,https://www.ftc.gov/system/files/ftc_gov/pdf/DisneyStipulationandProposedOrder.pdf
