id,docket_number,company_name,date_issued,year,administration,categories,violation_type,complaint_counts,legal_authority,commissioners,ftc_url,source_filename,num_provisions,num_requirements,order_duration_years,takeaway_brief,statutory_topics,practice_areas,industry_sectors,remedy_types,provision_counts_by_topic
08.97_bruno_s,C-3760,Bruno's Inc.,1997-08-15,1997,Clinton,Fair Credit Reporting (FCRA),both,Violation of FCRA Section 615(a) — Failure to Notify Applicants of Adverse Action Based on Consumer Reports,"Section 615(a) of the Fair Credit Reporting Act, 15 U.S.C. § 1681m(a) and Section 5(a) of the Federal Trade Commission Act, 15 U.S.C. § 45(a)","Robert Pitofsky; Mary L. Azcuenaga; Janet D. Steiger; Roscoe B. Starek, III; Christine A. Varney",https://www.ftc.gov/legal-library/browse/cases-proceedings/962-3086-brunos-inc-matter,"08.97, Bruno's.json",6,8,20.0,Bruno's Inc. denied job applicants based on consumer reports without notifying them that such information contributed to the adverse employment decision.,FCRA,Financial Practices,Retail,Prohibition; Recordkeeping; Order Administration; Compliance Monitoring,"{""FCRA"": 6}"
09.97_aldi,C-3764,ALDI INC.,1997-09-15,1997,Clinton,Fair Credit Reporting (FCRA),both,Failure to Provide Adverse Action Notice Under the Fair Credit Reporting Act,"Section 615(a) of the Fair Credit Reporting Act, 15 U.S.C. § 1681m(a), and Section 5(a)(1) of the Federal Trade Commission Act, 15 U.S.C. § 45(a)(1)","Robert Pitofsky; Mary L. Azcuenaga; Janet D. Steiger; Roscoe B. Starek, III",https://www.ftc.gov/legal-library/browse/cases-proceedings/962-3064-aldi-inc-matter,"09.97, Aldi.json",6,7,20.0,ALDI denied job applicants based on consumer reports without notifying them that such information factored into the adverse employment decision.,FCRA,Financial Practices,Retail,Prohibition; Recordkeeping; Order Administration; Compliance Monitoring,"{""FCRA"": 6}"
08.99_first_american_real_estate_solutions_ll,DOCKET NO.,"First American Real Estate Solutions, LLC",1999-08-15,1999,Clinton,Fair Credit Reporting (FCRA),unfair,Failure to Reinvestigate and Correct Disputed Information (FCRA § 611); Failure to Follow Reasonable Procedures to Ensure Accuracy (FCRA § 607(b)); Unfair or Deceptive Acts or Practices (FTC Act § 5(a)),"Section 5(a) of the Federal Trade Commission Act, 15 U.S.C. § 45(a), and Fair Credit Reporting Act, 15 U.S.C. §§ 1681-1681u",,https://www.ftc.gov/legal-library/browse/cases-proceedings/952-3267-first-american-real-estate-solutions-ll,"08.99, First American Real Estate Solutions, LL.json",6,15,20.0,"First American CREDCO routinely refused to reinvestigate disputed errors in merged credit reports, redirecting consumers to source repositories instead.",FCRA,Financial Practices,Financial Services,Prohibition; Recordkeeping; Order Administration; Compliance Monitoring,"{""FCRA"": 6}"
08.99_liberty_financial_companies,C-3891,"Liberty Financial Companies, Inc.",1999-08-15,1999,Clinton,Privacy / Deceptive Privacy Practices,deceptive,False Anonymity Representation; False E-Mail Newsletter Promise; False Quarterly Prize Drawing Representation,Section 5(a) of the Federal Trade Commission Act,"Robert Pitofsky, Chairman; Sheila F. Anthony; Mozelle W. Thompson; Orson Swindle",https://www.ftc.gov/legal-library/browse/cases-proceedings/982-3522-liberty-financial-companies-inc,"08.99, Liberty Financial Companies.json",11,17,20.0,Liberty Financial's children's website collected personal information under a false promise of anonymity and never delivered the promised newsletter or prize drawings.,Section 5 Only,Privacy,Financial Services,Prohibition; Consumer Notification; Data Deletion; Other; Recordkeeping; Order Administration; Compliance Monitoring,"{""Section 5 Only"": 11}"
04.01_bigmailbox.com,01-605-A,"Bigmailbox.com, Inc.",2001-04-15,2001,G.W. Bush,COPPA / Children's Privacy; Privacy / Deceptive Privacy Practices,both,Failure to Provide Sufficient Website Notice (COPPA Rule § 312.4(b)); Failure to Provide Direct Notice to Parents (COPPA Rule § 312.4(c)); Failure to Obtain Verifiable Parental Consent (COPPA Rule § 312.5); Failure to Provide Parental Review and Deletion Rights (COPPA Rule § 312.6); Conditioning Participation on Excess Information Disclosure (COPPA Rule § 312.7); Deceptive Privacy Policy Representations (FTC Act § 5(a)),"Sections 1303(c) and 1306(d) of the Children's Online Privacy Protection Act of 1998 (COPPA), 15 U.S.C. §§ 6501-6506, 6502(c), and 6505(d), and Sections 5(a)(1), 5(m)(1)(A), 13(b), and 16(a) of the Federal Trade Commission Act (FTC Act), 15 U.S.C. §§ 41-58, 45(a)(1), 45(m)(1)(A), 53(b), and 56(a)",,https://www.ftc.gov/legal-library/browse/cases-proceedings/002-3378-bigmailboxcom-inc-et-al,"04.01, Bigmailbox.Com.json",16,17,,Bigmailbox.com collected children's personal information through kids' websites without parental notice or consent and then used it for marketing.,COPPA,Privacy,Technology,Prohibition; Consumer Redress; Monetary Penalty; Order Administration; Data Deletion; Compliance Monitoring; Recordkeeping,"{""COPPA"": 16}"
04.01_looksmart,Civil Action No. 01-606-A,LookSmart Ltd.,2001-04-15,2001,G.W. Bush,COPPA / Children's Privacy; Privacy / Deceptive Privacy Practices,deceptive,Failure to Provide Sufficient Website Notice (§ 312.4(b)); Failure to Provide Direct Notice to Parents (§ 312.4(c)); Failure to Obtain Verifiable Parental Consent (§ 312.5); Failure to Provide Parental Review and Deletion Rights (§ 312.6); Conditioning Participation on Excess Information Disclosure (§ 312.7),"Sections 1303(c) and 1306(d) of the Children's Online Privacy Protection Act of 1998 (COPPA), 15 U.S.C. §§ 6501-6506, 6502(c), and 6505(d), and Sections 5(a)(1), 5(m)(1)(A), 13(b), and 16(a) of the Federal Trade Commission Act (FTC Act), 15 U.S.C. §§ 41-58, 45(a)(1), 45(m)(1)(A), 53(b), and 56(a)",,https://www.ftc.gov/legal-library/browse/cases-proceedings/002-3379-looksmart-ltd,"04.01, Looksmart.json",16,19,5.0,LookSmart collected and publicly posted personal information of children under 13 on its message board service without parental consent.,COPPA,Privacy,Technology,Order Administration; Prohibition; Consumer Redress; Monetary Penalty; Data Deletion; Compliance Monitoring; Recordkeeping,"{""COPPA"": 16}"
04.01_monarch_services,AMD 01 CV 1165,"Monarch Services, Inc.",2001-04-15,2001,G.W. Bush,COPPA / Children's Privacy; Privacy / Deceptive Privacy Practices,both,Failure to Provide Sufficient Website Notice; Failure to Provide Notice to Parents; Failure to Obtain Verifiable Parental Consent; Failure to Provide Parental Notice and Opt-Out Under Consent Exception; Failure to Provide Parental Review and Deletion Rights; Conditioning Participation on Excess Information Disclosure,"Sections 1303(c) and 1306(d) of the Children's Online Privacy Protection Act of 1998 (COPPA), 15 U.S.C. §§ 6501-6506, 6502(c), and 6505(d), and Sections 5(a)(1), 5(m)(1)(A), 13(b), and 16(a) of the Federal Trade Commission Act (FTC Act), 15 U.S.C. §§ 41-58, 45(a)(1), 45(m)(1)(A), 53(b), and 56(a)",,https://www.ftc.gov/legal-library/browse/cases-proceedings/002-3375-monarch-services-inc-et-al,"04.01, Monarch Services.json",14,14,5.0,Monarch Services collected personal information from children under 13 on its kids' website without parental notice or consent.,COPPA,Privacy,Retail; Technology,Prohibition; Consumer Redress; Monetary Penalty; Order Administration; Data Deletion; Compliance Monitoring; Recordkeeping,"{""COPPA"": 14}"
10.01_frank_lisa,Civil Action No. _______________,"Lisa Frank, Inc.",2001-10-15,2001,G.W. Bush,COPPA / Children's Privacy; Privacy / Deceptive Privacy Practices,unfair,"COPPA Rule Violations — Failure to Obtain Parental Consent, Provide Direct Notice, and Make Required Disclosures; Deceptive Representation Regarding Parental Consent in Privacy Policy","Sections 1303(c) and 1306(d) of the Children's Online Privacy Protection Act of 1998 (COPPA), 15 U.S.C. §§ 6501-6506, §§ 6502(c), 6505(d), and Sections 5(a)(1), 5(m)(1)(A), 13(b), and 16(a) of the Federal Trade Commission Act (FTC Act), 15 U.S.C. §§ 41-58",,https://www.ftc.gov/legal-library/browse/cases-proceedings/012-3050-frank-lisa-inc,"10.01, Frank, Lisa.json",12,18,,Lisa Frank's children's website collected personal information from children without parental consent and falsely claimed in its privacy policy that parental permission would be required.,COPPA,Privacy,Retail,Prohibition; Consumer Redress; Monetary Penalty; Data Deletion; Order Administration; Compliance Monitoring; Recordkeeping; Consumer Notification,"{""COPPA"": 12}"
02.02_american_pop_corn_company,C02-4008DEO,American Pop Corn Company,2002-02-15,2002,G.W. Bush,COPPA / Children's Privacy; Privacy / Deceptive Privacy Practices,both,Violations of the Children's Online Privacy Protection Rule; False and Misleading Privacy Policy Statements — Violation of FTC Act Section 5(a),"Sections 1303(c) and 1306(d) of the Children's Online Privacy Protection Act of 1998 (COPPA), 15 U.S.C. §§ 6501-6506, 6502(c), and 6505(d), and Sections 5(a)(1), 5(m)(1)(A), 13(b), and 16(a) of the Federal Trade Commission Act (FTC Act), 15 U.S.C. §§ 41-58, 45(a)(1), 45(m)(1)(A), 53(b), and 56(a)",,https://www.ftc.gov/legal-library/browse/cases-proceedings/012-3026-american-pop-corn-company,"02.02, American Pop Corn Company.json",13,16,20.0,"American Pop Corn Company collected children's personal information through its Kids Club website without parental notice or consent, while falsely claiming it would notify parents.",COPPA,Privacy,Retail,Prohibition; Consumer Redress; Monetary Penalty; Data Deletion; Order Administration; Compliance Monitoring; Recordkeeping,"{""COPPA"": 13}"
03.02_garrett_paula_l._dba_discreet_data_systems,H-01-1255,"Paula L. Garrett, d/b/a Discreet Data Systems",2002-03-15,2002,G.W. Bush,Gramm-Leach-Bliley,deceptive,Violations of the Gramm-Leach-Bliley Act; Violations of Section 5(a) of the FTC Act — Unfair or Deceptive Acts or Practices,"Section 5(a) of the Federal Trade Commission Act, 15 U.S.C. § 45(a), and Section 521 of the Gramm-Leach-Bliley Act, 15 U.S.C. § 6821",,https://www.ftc.gov/legal-library/browse/cases-proceedings/012-3067-garrett-paula-l-dba-discreet-data-systems,"03.02, Garrett, Paula L. dba Discreet Data Systems.json",15,31,,"Paula Garrett ran an information brokerage that used impersonation and false pretenses to trick bank employees into disclosing customers' confidential account information, then sold that data.",GLBA,Financial Practices,Financial Services,Prohibition; Monetary Penalty; Compliance Monitoring; Consumer Redress; Order Administration; Recordkeeping,"{""GLBA"": 15}"
